City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,afaahiti,-17.75,-149.2833,23.829999999999984,87,99,6.8,PF,1718049407
129,college,64.8569,-147.8028,20.399999999999977,52,75,2.06,US,1718049408
130,itaituba,-4.2761,-55.9836,30.99000000000001,58,20,1.54,BR,1718049408
131,west island,-12.1568,96.8225,25.889999999999986,89,75,8.75,CC,1718049408
132,ushuaia,-54.8,-68.3,-1.3100000000000023,80,40,1.03,AR,1718049168
133,nuuk,64.1835,-51.7216,5.910000000000025,94,100,4.11,GL,1718049409
134,valparaiso,-33.0393,-71.6273,16.089999999999975,78,100,5.14,CL,1718049346
135,revda,56.801,59.9303,10.990000000000009,87,25,1.76,RU,1718049409
136,tengrela,10.4869,-6.4097,29.779999999999973,49,82,2.13,CI,1718049410
137,kashgar,39.4547,75.9797,23.45999999999998,28,20,7.0,CN,1718049410
138,santa maria,-29.6842,-53.8069,26.50999999999999,65,0,2.06,BR,1718049196
139,malvan,16.0667,73.4667,26.25999999999999,86,100,1.13,IN,1718049411
140,saint-philippe,-21.3585,55.7679,21.670000000000016,80,47,4.58,RE,1718049411
141,tiksi,71.6872,128.8694,1.6399999999999864,86,29,3.14,RU,1718049412
142,kapuskasing,49.4169,-82.4331,14.949999999999989,44,0,5.66,CA,1718049412
143,gadzhiyevo,69.2551,33.3362,10.899999999999977,81,100,1.8,RU,1718049412
144,hawaiian paradise park,19.5933,-154.9731,25.389999999999986,79,100,3.09,US,1718049413
145,cabedelo,-6.9811,-34.8339,28.269999999999982,76,4,6.79,BR,1718049413
146,revelstoke,50.9832,-118.2023,19.910000000000025,60,75,3.6,CA,1718049381
147,lihue,21.9789,-159.3672,27.480000000000018,72,75,7.2,US,1718049413
148,paciran,-6.8767,112.3761,25.819999999999993,88,57,3.77,ID,1718049414
149,polessk,54.862,21.1028,12.930000000000007,86,0,1.46,RU,1718049414
150,syktyvkar,61.6764,50.8099,12.75,71,0,2.0,RU,1718049414
151,queenstown,-31.8976,26.8753,8.660000000000025,47,0,2.33,ZA,1718049415
